Date,Nairobi,Date,Mombasa,Date,Baringo,Date,Bomet,Date,Bungoma,Date,Busia,Date,Elgeyo-Marakwet,Date,Embu,Date,Garisa,Date,HomaBay,Date,Isiolo,Date,Kajiado,Date,Kakamega,Date,Kericho,Date,Kiambu,Date,Kilifi,Date,Kirinyaga,Date,Kisii,Date,kisumu,Date,Kitui,Date,Kwale,Date,Laikipia,Date,Lamu,Date,Machakos,Date,Makueni,Date,Mandera,Date,Marsabit,Date,Meru,Date,Migori,Date,Murang'a,Date,Nakuru,Date,Nandi,Date,Narok,Date,Nyamira,Date,Nyandarua,Date,Nyeri,Date,Samburu,Date,Siaya,Date,Taita Taveta,Date,Tharaka-Nithi,Date,Trans Nzoia,Date,Turkana,Date,Uasin Gishu,Date,Vihiga,Date,Wajir,Date,West pokot
02.05.2020,2,20.05.2020,2,,,23.11.2020,2,,,14.06.2021,1,,,13.07.2021,1,10.03.2021,1,21.05.2021,2,,,21.08.2020,1,21.11.2020,1,19.11.2020,1,10.07.2020,1,21.05.2021,1,01.04.2021,1,08.11.2020,2,26.03.2021,1,31.01.2021,1,,,,,,,24.09.2020,1,28.03.2021,1,24.04.2021,1,,,23.11.2020,1,21.05.2021,1,28.11.2020,1,27.09.2020,1,,,,,,,01.04.2021,2,26.11.2020,2,,,15.04.2021,1,01.05.2021,1,,,,,,,05.10.2020,2,,,,,,
05.05.2020,2,22.05.2020,1,,,07.03.2021,1,,,15.06.2021,1,,,18.07.2021,1,11.03.2021,1,22.05.2021,1,,,13.09.2020,1,22.11.2020,1,20.11.2020,4,12.07.2020,3,11.06.2021,1,14.04.2021,1,10.11.2020,1,28.03.2021,1,04.02.2021,1,,,,,,,01.10.2020,1,29.03.2021,2,05.05.2021,1,,,27.11.2020,1,29.05.2021,2,29.11.2020,1,29.09.2020,3,,,,,,,05.04.2021,1,27.11.2020,1,,,27.04.2021,2,27.05.2021,1,,,,,,,06.10.2020,1,,,,,,
06.05.2020,3,23.05.2020,1,,,09.08.2021,1,,,17.06.2021,2,,,05.08.2021,1,13.03.2021,1,23.05.2021,1,,,09.10.2020,1,27.11.2020,1,21.11.2020,2,13.07.2020,2,14.07.2021,1,24.04.2021,2,12.11.2020,1,01.04.2021,1,07.02.2021,1,,,,,,,07.10.2020,1,31.03.2021,4,09.05.2021,2,,,13.12.2020,1,02.06.2021,2,30.11.2020,1,01.10.2020,1,,,,,,,07.04.2021,1,30.11.2020,2,,,04.05.2021,2,30.06.2021,1,,,,,,,09.10.2020,1,,,,,,
07.05.2020,4,25.05.2020,2,,,,,,,18.06.2021,1,,,06.08.2021,3,20.03.2021,1,25.05.2021,1,,,12.10.2020,2,01.12.2020,1,24.11.2020,2,14.07.2020,2,17.07.2021,1,03.05.2021,1,13.11.2020,1,08.04.2021,1,16.02.2021,1,,,,,,,09.10.2020,1,03.04.2021,1,17.05.2021,1,,,19.12.2020,1,04.06.2021,1,02.12.2020,1,02.10.2020,1,,,,,,,15.04.2021,1,01.12.2020,3,,,07.05.2021,1,19.07.2021,2,,,,,,,10.10.2020,1,,,,,,
08.05.2020,5,26.05.2020,3,,,,,,,21.06.2021,1,,,15.08.2021,1,21.03.2021,1,30.05.2021,1,,,29.10.2020,2,08.12.2020,1,27.11.2020,1,16.07.2020,1,18.07.2021,1,27.05.2021,1,14.11.2020,1,18.04.2021,1,28.02.2021,1,,,,,,,11.10.2020,1,04.04.2021,2,20.05.2021,1,,,12.01.2021,1,07.06.2021,2,03.12.2020,1,03.10.2020,1,,,,,,,16.04.2021,1,03.12.2020,3,,,09.05.2021,3,30.07.2021,1,,,,,,,11.10.2020,1,,,,,,
10.05.2020,5,27.05.2020,2,,,,,,,24.06.2021,1,,,18.08.2021,1,22.03.2021,2,02.06.2021,1,,,08.11.2020,1,17.12.2020,1,30.11.2020,1,17.07.2020,2,19.07.2021,2,09.06.2021,1,15.11.2020,1,29.04.2021,1,06.03.2021,1,,,,,,,16.10.2020,1,05.04.2021,1,21.05.2021,1,,,19.02.2021,1,09.06.2021,2,06.12.2020,2,04.10.2020,1,,,,,,,17.04.2021,1,04.12.2020,2,,,16.05.2021,1,02.08.2021,1,,,,,,,13.10.2020,1,,,,,,
11.05.2020,2,28.05.2020,5,,,,,,,28.06.2021,1,,,19.08.2021,1,26.03.2021,1,05.06.2021,2,,,11.11.2020,1,08.03.2021,1,01.12.2020,1,20.07.2020,1,20.07.2021,1,09.07.2021,1,18.11.2020,1,19.05.2021,2,10.03.2021,1,,,,,,,20.10.2020,2,06.04.2021,1,22.05.2021,1,,,04.03.2021,1,20.06.2021,1,08.12.2020,1,08.10.2020,4,,,,,,,19.04.2021,1,11.12.2020,2,,,19.05.2021,3,12.08.2021,1,,,,,,,14.10.2020,3,,,,,,
12.05.2020,3,30.05.2020,1,,,,,,,30.06.2021,1,,,20.08.2021,1,28.03.2021,2,06.06.2021,3,,,16.11.2020,1,11.03.2021,5,04.12.2020,1,23.07.2020,2,09.08.2021,1,19.07.2021,1,21.11.2020,1,31.05.2021,4,20.03.2021,1,,,,,,,21.10.2020,1,07.04.2021,3,31.05.2021,1,,,11.03.2021,5,02.07.2021,1,16.12.2020,1,09.10.2020,1,,,,,,,21.04.2021,2,15.12.2020,1,,,21.05.2021,1,,,,,,,,,15.10.2020,4,,,,,,
13.05.2020,2,31.05.2020,1,,,,,,,01.07.2021,1,,,22.08.2021,1,02.04.2021,3,07.06.2021,2,,,24.11.2020,1,28.03.2021,1,05.12.2020,3,24.07.2020,2,,,21.07.2021,1,01.12.2020,1,03.06.2021,1,23.03.2021,1,,,,,,,22.10.2020,1,08.04.2021,2,01.08.2021,1,,,15.03.2021,2,,,20.12.2020,1,10.10.2020,3,,,,,,,22.04.2021,1,20.12.2020,1,,,23.05.2021,1,,,,,,,,,16.10.2020,2,,,,,,
14.05.2020,2,04.06.2020,3,,,,,,,08.07.2021,2,,,,,03.04.2021,1,09.06.2021,1,,,01.12.2020,1,04.04.2021,1,07.12.2020,1,25.07.2020,3,,,08.08.2021,1,05.12.2020,1,05.06.2021,1,24.03.2021,1,,,,,,,26.10.2020,1,09.04.2021,2,10.08.2021,1,,,18.03.2021,1,,,21.12.2020,1,14.10.2020,2,,,,,,,23.04.2021,1,21.12.2020,1,,,24.05.2021,1,,,,,,,,,17.10.2020,1,,,,,,
