,FeMale,Male,0-9,10-19,20-29,30-39,40-49,50-59,60+,0-9,10-19,20-29,30-39,40-49,50-59,60+,,,,,,,
10/18/2020,229,456,,,,,,,,,,,,,,,,,,,,,
10/17/2020,225,391,,,,,,,,,,,,,,,,,,,,,
10/16/2020,184,253,,,,,,,,,,,,,,,,,,,,,
10/15/2020,195,407,,,,,,,,,,,,,,,,,,,,,
10/14/2020,204,400,,,,,,,,,,,,,,,,,,,,,
10/13/2020,103,215,,,,,,,,,,,,,,,,,,,,,
10/12/2020,27,46,,,,,,,,,,,,,,,,,,,,,
10/11/2020,104,284,,,,,,,,,,,,,,,,,,,,,
10/10/2020,108,430,,,,,,,,,,,,,,,,,,,,,
10/09/2020,156,286,,,,,,,,,,,,,,,,,,,,,
10/08/2020,94,177,,,,,,,,,,,,,,,,,,,,,
10/07/2020,138,183,,,,,,,,,,,,,,,,,,,,,
10/06/2020,43,94,,,,,,,,,,,,,,,,,,,,,
10/05/2020,7,15,,,,,,,,,,,,,,,,,,,,,
10/04/2020,64,179,,,,,,,,,,,,,,,,,,,,,
10/03/2020,75,186,,,,,,,,,,,,,,,,,,,,,
10/02/2020,69,141,,,,,,,,,,,,,,,,,,,,,
10/01/2020,74,110,,,,,,,,,,,,,,,,,,,,,
09/30/2020,54,97,,,,,,,,,,,,,,,,,,,,,
09/29/2020,,,,,,,,,,,,,,,,,,,,,,,
09/28/2020,21,32,,,,,,,,,,,,,,,,,,,,,
09/27/2020,87,157,,,,,,,,,,,,,,,,,,,,,
09/26/2020,49,115,,,,,,,,,,,,,,,,,,,,,
09/25/2020,38,103,,,,,,,,,,,,,,,,,,,,,
09/24/2020,41,89,,,,,,,,,,,,,,,,,,,,,
09/23/2020,22,112,,,,,,,,,,,,,,,,,,,,,
09/22/2020,35,63,,,,,,,,,,,,,,,,,,,,,
09/21/2020,,,,,,,,,,,,,,,,,,,,,,,
09/20/2020,68,84,,,,,,,,,,,,,,,,,,,,,
09/19/2020,22,83,,,,,,,,,,,,,,,,,,,,,
09/18/2020,43,105,,,,,,,,,,,,,,,,,,,,,
09/17/2020,52,131,,,,,,,,,,,,,,,,,,,,,
